nama_listing,daerah,l_tanah,l_bangunan,k_tidur,k_mandi,listrik,lantai,jarak_rs,jarak_pusatbelanja,jarak_kampus,jarak_tol,stasiun,harga_rumah
Rumah 2 LT SHM 8 Menit ke Trans Studio Cibubur Dibantu KPR J-38382,Cimanggis,84,60,2,2,2200,2,1.9,3,4.5,3,1.3,780000000
"Rumah Murah 2 Lantai ,Lokasi Strategis di, Cimanggis ,Depok",Cimanggis,90,65,3,2,2200,2,2,5.1,3.1,2.7,5,1200000000
Rumah Murah di Permata Puri 1 Cimaggis Depok,Cimanggis,160,270,4,3,4400,2,2.3,2.8,2,2.9,3,2000000000
Dijual Rumah di Komplek Deppen Cimanggis,Cimanggis,120,170,3,3,3300,2,1.5,4.6,2.5,2.1,2.3,1550000000
Rumah Dijual Kesuma Puri Raya Cimanggis Depok,Cimanggis,500,400,6,4,4400,2,1.8,2.2,4.6,2.5,0.6,4900000000
For Sale Rumah 2 Lantai Rapih Terawat Siap Huni di Permata Puri Cimanggis,Cimanggis,204,360,5,5,4400,2,2.1,5.2,2.1,2.9,3,2670000000
"Rumah, 2 Lantai, di Cimanggis",Cimanggis,304,313,5,4,2200,2,2.9,3.5,2.3,2.4,2.9,2500000000
Rumah Hoek Griya Cimanggis,Cimanggis,207,110,4,2,2200,1,1.7,1.7,2.6,3.7,3.8,2500000000
Dijual Rumah Di Puri Sriwedari,Cimanggis,150,250,4,4,2200,2,0.65,0.85,5.8,1.9,2.2,2300000000
Dijual Rumah Baru Konsep Mezzanine Dan Balkon 10 Menit Stasiun Depok Lama,Cimanggis,60,32,3,1,1300,1,2.1,5.2,3.2,2.7,5,425000000
Di Jual Rumah 2 Lantai Di Mahogany Residence Cibubur,Cimanggis,135,180,3,3,3500,2,0.7,0.1,6.6,1.8,2.5,2750000000
Rumah 2 Lantai Modern Cluster Trevista Cibubur,Cimanggis,90,90,4,3,3500,2,0.95,1.5,0.65,1.8,4.1,1250000000
Jual Rumah Bagus di Cimanggis Kapitan Raya Fully Furnished,Cimanggis,101,200,4,3,3500,2,2.4,4,3,2.4,3,2000000000
Rumah Dekat Kampus di Jl H Mustofa Cimanggis Depok,Cimanggis,267,300,3,3,2200,2,1.9,4.2,1.3,4.8,2.6,1200000000
Jual Rumah Baru di Jl. Puri Kencana Permai Kec. Cimanggis Depok Jawa Barat,Cimanggis,76,80,3,2,2200,2,3.3,3.6,3.5,3.2,2.2,1160000000
"Dijual Cepat Rumah 2 Lantai di Perumahan Evergreen Cibubur, Kota Depok",Cimanggis,145,250,5,3,3500,2,3.2,3.5,4.4,2.8,1.9,2600000000
Dijual Rumah Baru Siap Huni Di Taman Duta Cimanggis Depok,Cimanggis,83,150,4,4,2200,2,1,1.9,1.1,3.2,4.3,1800000000
"Permata Puri I, Mewah, Siap Huni, Bebas Banjir, Lok Strategis, bisa KPR, Harga Nego",Cimanggis,300,300,6,4,2200,2,2.3,2.8,2.1,2.6,3.8,4750000000
Rumah 2 Lantai di Cimanggis Cibubur Depok Dekat LRT Harjamukti,Cimanggis,66,76,3,2,2200,2,3,3.3,3.6,3,2.1,1050000000
"Rumah Siap Huni,Semi Furnished,Bebas Banjir di Perumahan Sriwedari Cibubur,Harjamukti,Cimanggis,Depok",Cimanggis,180,250,5,6,5500,2,0.65,0.86,5.8,3.4,2.2,2850000000
Rumah Strategis Dekat Kampus di Jl Asoka Tugu Cimanggis Depok,Cimanggis,120,80,3,2,2200,1,1.9,3.8,2,5.1,3.6,1400000000
Raffles Hills,Cimanggis,112,150,3,3,2200,2,0.35,0.9,7.5,2.7,3.4,1700000000
Rumah Luas Murah Di Raffles Hills,Cimanggis,208,180,3,3,4400,2,0.35,0.9,7.5,2.8,3.3,2500000000
Jual Rumah Cantik Dekat Lrt Cibubur,Cimanggis,110,120,4,2,3500,2,3.2,3.6,4.9,3.3,2.4,1550000000
Raffles Hills,Cimanggis,96,98,4,4,2200,2,0.35,0.9,7.5,2.7,3.4,1450000000
Rumah Depok Strategis dan Bagus,Cimanggis,302,200,3,4,2200,1,1.3,0.8,2.4,3.2,4,3000000000
Dijual Cepat Rumah Dekat Stasiun LRT Harjamukti,Cimanggis,142,300,6,6,5500,2,2.6,3,4,3,3.6,2300000000
"Dijual Cepat Rumah 1 Lt Di Puri Kencana, DepoK",Cimanggis,105,45,2,1,1300,1,3.2,3.5,3.4,3.2,2.2,950000000
Rumah Asri dan Bagus 2 lantai siap huni di Kavling Pertamina Cimanggis Depok,Cimanggis,150,184,4,4,2200,2,4.2,3.4,4.3,4.1,2.5,1600000000
